id,period,minute,seconds,type,match.id,match.homeTeamDisplayName,match.awayTeamDisplayName,swimoff.homeTeamSwimmer.playerId_x,swimoff.awayTeamSwimmer.playerId_x,swimoff.winnerSwimmer.playerId_x,exclusion.excludedPlayer.playerId_x,exclusion.fouledPlayer.playerId_x,exclusion.locationX,exclusion.locationY,shot.type,shot.takenBy.playerId_x,shot.blockedBy.playerId_x,shot.isGoal,shot.isFastBreak,shot.isDirectFromFoul,shot.locationX,shot.locationY,shot.targetX,shot.targetY,shot.assistedBy.playerId_x,turnover.type,turnover.lostPossesionPlayer.playerId,shot.savedBy.playerId_x,turnover.wonPossesionPlayer.playerId_x,timeout.team.name,shot.savedBy.playerId_y,shot_saved_playerId,shot_saved_by,turnover.wonPossesionPlayer.playerId_y,turnover_playerId,turnover_won_by,shot.assistedBy.playerId_y,shot_assisted_playerId,shot_assisted_by,shot.blockedBy.playerId_y,shot_blocked_playerId,shot_blocked_by,shot.takenBy.playerId_y,shot_playerId,shot_taken_by,exclusion.excludedPlayer.playerId_y,exclusion_playerId,exclusion_committed_by,swimoff.homeTeamSwimmer.playerId_y,swimoff_hometeam_playerId,swimoff_hometeam,swimoff.awayTeamSwimmer.playerId_y,swimoff_awayteam_playerId,swimoff_awayteam,swimoff.winnerSwimmer.playerId_y,swim_off_won_by_playerId,swim_off_won_by,turnover.lostPossesionPlayer.playerId_x,turned_over_by_playerId_x,turned_over_by_x,turnover.lostPossesionPlayer.playerId_y,turned_over_by_playerId_y,turned_over_by_y,exclusion.fouledPlayer.playerId_y,exclusion_drawn_by_playerId,exclusion_drawn_by
374894,Fourth_Period,4,49,Exclusion,10044,Croatia,Italy,,,,6039.0,71.0,0.466,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6039.0,6039.0,Matteo Iocchi Gratta,,,,,,,,,,,,,,,,71.0,71.0,Luka Loncar
374895,Fourth_Period,4,26,Shot,10044,Croatia,Italy,,,,,,,,Power_Play,77.0,1354.0,False,False,False,0.576,0.199,,,,,,,,,,,,,,,,,,1354.0,1354.0,Francesco Di Fulvio,77.0,77.0,Loren Fatovic,,,,,,,,,,,,,,,,,,,,,
374896,Fourth_Period,4,3,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Clock_Expired,1354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.0,1354.0,Francesco Di Fulvio,1354.0,1354.0,Francesco Di Fulvio,,,
374897,Fourth_Period,3,43,Exclusion,10044,Croatia,Italy,,,,6037.0,71.0,0.528,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6037.0,6037.0,Francesco Condemi,,,,,,,,,,,,,,,,71.0,71.0,Luka Loncar
374898,Fourth_Period,3,32,Exclusion,10044,Croatia,Italy,,,,1360.0,7.0,0.386,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.0,1360.0,Gonzalo Echenique,,,,,,,,,,,,,,,,7.0,7.0,Matias Biljaka
374899,Fourth_Period,3,25,Shot,10044,Croatia,Italy,,,,,,,,Power_Play,1064.0,,True,False,False,0.635,0.186,0.513,0.394,,,,,,,,,,,,,,,,,,,1064.0,1064.0,Ante Vukicevic,,,,,,,,,,,,,,,,,,,,,
374900,Fourth_Period,2,56,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,1354.0,,False,False,True,0.297,0.388,0.601,0.754,,,,75.0,,,75.0,75.0,Toni Popadic,,,,,,,,,,1354.0,1354.0,Francesco Di Fulvio,,,,,,,,,,,,,,,,,,,,,
374901,Fourth_Period,2,36,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Offensive_Foul,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0,134.0,Nicholas Presciutti,134.0,134.0,Nicholas Presciutti,,,
374902,Fourth_Period,2,16,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,81.0,,False,False,False,0.548,0.286,0.399,0.525,,,,1353.0,,,1353.0,1353.0,Marco Del Lungo,,,,,,,,,,81.0,81.0,Marko Zuvela,,,,,,,,,,,,,,,,,,,,,
374903,Fourth_Period,1,46,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,1360.0,,False,False,False,0.751,0.212,0.359,0.416,,,,75.0,,,75.0,75.0,Toni Popadic,,,,,,,,,,1360.0,1360.0,Gonzalo Echenique,,,,,,,,,,,,,,,,,,,,,
374904,Fourth_Period,1,28,Exclusion,10044,Croatia,Italy,,,,6037.0,60.0,0.5,0.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6037.0,6037.0,Francesco Condemi,,,,,,,,,,,,,,,,60.0,60.0,Rino Buric
374905,Fourth_Period,1,13,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,4.0,,True,False,False,0.236,0.153,0.299,0.492,917.0,,,,,,,,,,,,917.0,917.0,Jerko Marinic Kragic,,,,4.0,4.0,Luka Bukic,,,,,,,,,,,,,,,,,,,,,
374906,Fourth_Period,1,13,Card,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374907,Fourth_Period,0,45,Shot,10044,Croatia,Italy,,,,,,,,Regular_Attack,134.0,,False,False,True,0.437,0.289,0.686,0.48,,,,75.0,,,75.0,75.0,Toni Popadic,,,,,,,,,,134.0,134.0,Nicholas Presciutti,,,,,,,,,,,,,,,,,,,,,
374908,Fourth_Period,0,20,Turnover,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,Lost_Ball,1064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1064.0,1064.0,Ante Vukicevic,1064.0,1064.0,Ante Vukicevic,,,
374909,Fourth_Period,0,20,Timeout,10044,Croatia,Italy,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374910,First_Period,8,0,Swim_Off,10045,Japan,France,12170.0,2380.0,12170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12170.0,12170.0,Taiyo Watanabe,2380.0,2380.0,Alexandre Bouet,12170.0,12170.0,Taiyo Watanabe,,,,,,,,,
374911,First_Period,7,43,Shot,10045,Japan,France,,,,,,,,Regular_Attack,4759.0,1304.0,False,False,False,,,,,,,,,,,,,,,,,,,,1304.0,1304.0,Thomas Vernoux,4759.0,4759.0,Toi Suzuki,,,,,,,,,,,,,,,,,,,,,
374912,First_Period,7,16,Shot,10045,Japan,France,,,,,,,,Regular_Attack,1362.0,,True,False,False,0.473,0.174,0.259,0.503,600.0,,,,,,,,,,,,600.0,600.0,Emil Bjorch,,,,1362.0,1362.0,Michael Bodegas,,,,,,,,,,,,,,,,,,,,,
374913,First_Period,6,47,Turnover,10045,Japan,France,,,,,,,,,,,,,,,,,,,Lost_Ball,12171.0,,1304.0,,,,,1304.0,1304.0,Thomas Vernoux,,,,,,,,,,,,,,,,,,,,,,12171.0,12171.0,Daichi Ogihara,12171.0,12171.0,Daichi Ogihara,,,
374914,First_Period,6,26,Turnover,10045,Japan,France,,,,,,,,,,,,,,,,,,,Offensive_Foul,1362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.0,1362.0,Michael Bodegas,1362.0,1362.0,Michael Bodegas,,,
374915,First_Period,6,15,Exclusion,10045,Japan,France,,,,1305.0,4765.0,0.289,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.0,1305.0,Enzo Khasz,,,,,,,,,,,,,,,,4765.0,4765.0,Kenta Araki
374916,First_Period,6,12,Shot,10045,Japan,France,,,,,,,,Regular_Attack,4765.0,,True,False,False,0.338,0.062,0.212,0.911,4759.0,,,,,,,,,,,,4759.0,4759.0,Toi Suzuki,,,,4765.0,4765.0,Kenta Araki,,,,,,,,,,,,,,,,,,,,,
374917,First_Period,5,52,Turnover,10045,Japan,France,,,,,,,,,,,,,,,,,,,Lost_Ball,2380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380.0,2380.0,Alexandre Bouet,2380.0,2380.0,Alexandre Bouet,,,
374918,First_Period,5,33,Shot,10045,Japan,France,,,,,,,,Regular_Attack,4755.0,,True,False,False,0.28,0.212,0.243,0.936,4759.0,,,,,,,,,,,,4759.0,4759.0,Toi Suzuki,,,,4755.0,4755.0,Seiya Adachi,,,,,,,,,,,,,,,,,,,,,
